NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	31	31		
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	34	34		
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	44	44		
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	11		Rejected!	
KEGG_LYSINE_DEGRADATION	44	44		
KEGG_ARGININE_AND_PROLINE_METABOLISM	54	54		
KEGG_HISTIDINE_METABOLISM	29	29		
KEGG_TYROSINE_METABOLISM	42	42		
KEGG_PHENYLALANINE_METABOLISM	18	18		
KEGG_TRYPTOPHAN_METABOLISM	40	39		
KEGG_BETA_ALANINE_METABOLISM	22	22		
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	10		Rejected!	
KEGG_SELENOAMINO_ACID_METABOLISM	26	26		
KEGG_GLUTATHIONE_METABOLISM	50	49		
KEGG_STARCH_AND_SUCROSE_METABOLISM	52	52		
KEGG_N_GLYCAN_BIOSYNTHESIS	46	46		
KEGG_OTHER_GLYCAN_DEGRADATION	16	16		
KEGG_O_GLYCAN_BIOSYNTHESIS	30	30		
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	44	44		
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	21	21		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	22	22		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	15	15		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	26	26		
KEGG_GLYCEROLIPID_METABOLISM	49	49		
KEGG_INOSITOL_PHOSPHATE_METABOLISM	54	54		
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	25	25		
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	77	77		
KEGG_ETHER_LIPID_METABOLISM	33	33		
KEGG_ARACHIDONIC_ACID_METABOLISM	58	58		
KEGG_LINOLEIC_ACID_METABOLISM	29	29		
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	19	19		
KEGG_SPHINGOLIPID_METABOLISM	39	39		
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	26	26		
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	14		Rejected!	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	15	15		
KEGG_PYRUVATE_METABOLISM	40	40		
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	16	16		
KEGG_PROPANOATE_METABOLISM	33	33		
KEGG_BUTANOATE_METABOLISM	34	34		
KEGG_ONE_CARBON_POOL_BY_FOLATE	17	17		
KEGG_RIBOFLAVIN_METABOLISM	16	16		
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	24	24		
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	16	16		
KEGG_FOLATE_BIOSYNTHESIS	11		Rejected!	
KEGG_RETINOL_METABOLISM	64	64		
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	41	41		
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	15	15		
KEGG_LIMONENE_AND_PINENE_DEGRADATION	10		Rejected!	
KEGG_NITROGEN_METABOLISM	23	23		
KEGG_SULFUR_METABOLISM	13		Rejected!	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	41	41		
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	70	69		
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	72	71		
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	51	51		
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	22	22		
KEGG_ABC_TRANSPORTERS	44	44		
KEGG_RIBOSOME	88	88		
KEGG_RNA_DEGRADATION	59	59		
KEGG_RNA_POLYMERASE	29	29		
KEGG_BASAL_TRANSCRIPTION_FACTORS	35	35		
KEGG_DNA_REPLICATION	36	36		
KEGG_SPLICEOSOME	127	127		
KEGG_PROTEASOME	46	46		
KEGG_PROTEIN_EXPORT	24	24		
KEGG_PPAR_SIGNALING_PATHWAY	69	69		
KEGG_BASE_EXCISION_REPAIR	35	35		
KEGG_NUCLEOTIDE_EXCISION_REPAIR	44	44		
KEGG_MISMATCH_REPAIR	23	23		
KEGG_HOMOLOGOUS_RECOMBINATION	28	28		
KEGG_NON_HOMOLOGOUS_END_JOINING	13		Rejected!	
KEGG_MAPK_SIGNALING_PATHWAY	267	267		
KEGG_ERBB_SIGNALING_PATHWAY	87	87		
KEGG_CALCIUM_SIGNALING_PATHWAY	178	177		
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	265	259		
KEGG_CHEMOKINE_SIGNALING_PATHWAY	189	187		
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	76	76		
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	272	270		
KEGG_CELL_CYCLE	125	125		
KEGG_OOCYTE_MEIOSIS	113	113		
KEGG_P53_SIGNALING_PATHWAY	68	68		
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	135	135		
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	38	37		
KEGG_REGULATION_OF_AUTOPHAGY	35	35		
KEGG_LYSOSOME	121	121		
KEGG_ENDOCYTOSIS	181	181		
KEGG_PEROXISOME	78	78		
KEGG_MTOR_SIGNALING_PATHWAY	52	52		
KEGG_APOPTOSIS	87	86		
KEGG_CARDIAC_MUSCLE_CONTRACTION	79	79		
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	115	115		
KEGG_WNT_SIGNALING_PATHWAY	151	151		
KEGG_DORSO_VENTRAL_AXIS_FORMATION	24	24		
KEGG_NOTCH_SIGNALING_PATHWAY	47	47		
KEGG_HEDGEHOG_SIGNALING_PATHWAY	56	56		
KEGG_TGF_BETA_SIGNALING_PATHWAY	86	86		
KEGG_AXON_GUIDANCE	129	128		
KEGG_VEGF_SIGNALING_PATHWAY	76	76		
KEGG_FOCAL_ADHESION	199	199		
KEGG_ECM_RECEPTOR_INTERACTION	84	84		
KEGG_CELL_ADHESION_MOLECULES_CAMS	133	129		
KEGG_ADHERENS_JUNCTION	73	73		
KEGG_TIGHT_JUNCTION	132	132		
KEGG_GAP_JUNCTION	90	90		
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	69	69		
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	88	81		
KEGG_RENIN_ANGIOTENSIN_SYSTEM	17	17		
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	102	102		
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	62	62		
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	71	71		
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	55	54		
KEGG_JAK_STAT_SIGNALING_PATHWAY	155	150		
KEGG_HEMATOPOIETIC_CELL_LINEAGE	87	82		
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	137	132		
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	108	108		
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	75	75		
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	79	79		
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	96	96		
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	116	114		
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	48	46		
KEGG_CIRCADIAN_RHYTHM_MAMMAL	13		Rejected!	
KEGG_LONG_TERM_POTENTIATION	70	70		
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	126	126		
KEGG_LONG_TERM_DEPRESSION	70	70		
KEGG_OLFACTORY_TRANSDUCTION	389	386		
KEGG_TASTE_TRANSDUCTION	52	51		
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	213	213		
KEGG_INSULIN_SIGNALING_PATHWAY	137	137		
KEGG_GNRH_SIGNALING_PATHWAY	101	101		
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	85	85		
KEGG_MELANOGENESIS	101	101		
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	67	67		
KEGG_TYPE_II_DIABETES_MELLITUS	47	47		
KEGG_TYPE_I_DIABETES_MELLITUS	43	41		
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25	25		
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	42	42		
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	44	44		
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	23	23		
KEGG_ALZHEIMERS_DISEASE	166	166		
KEGG_PARKINSONS_DISEASE	130	129		
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	53	53		
KEGG_HUNTINGTONS_DISEASE	182	181		
KEGG_PRION_DISEASES	35	35		
KEGG_VIBRIO_CHOLERAE_INFECTION	54	54		
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	68	68		
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	56	56		
KEGG_LEISHMANIA_INFECTION	72	70		
KEGG_PATHWAYS_IN_CANCER	325	324		
KEGG_COLORECTAL_CANCER	62	62		
KEGG_RENAL_CELL_CARCINOMA	70	70		
KEGG_PANCREATIC_CANCER	70	70		
KEGG_ENDOMETRIAL_CANCER	52	52		
KEGG_GLIOMA	65	65		
KEGG_PROSTATE_CANCER	89	89		
KEGG_THYROID_CANCER	29	29		
KEGG_BASAL_CELL_CARCINOMA	55	55		
KEGG_MELANOMA	71	71		
KEGG_BLADDER_CANCER	42	42		
KEGG_CHRONIC_MYELOID_LEUKEMIA	73	73		
KEGG_ACUTE_MYELOID_LEUKEMIA	57	57		
KEGG_SMALL_CELL_LUNG_CANCER	84	84		
KEGG_NON_SMALL_CELL_LUNG_CANCER	54	54		
KEGG_ASTHMA	30	28		
KEGG_AUTOIMMUNE_THYROID_DISEASE	52	50		
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	139	133		
KEGG_ALLOGRAFT_REJECTION	37	35		
KEGG_GRAFT_VERSUS_HOST_DISEASE	41	37		
KEGG_PRIMARY_IMMUNODEFICIENCY	35	35		
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	83	83		
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	74	74		
KEGG_DILATED_CARDIOMYOPATHY	90	90		
KEGG_VIRAL_MYOCARDITIS	70	68		
PID_FANCONI_PATHWAY	47	47		
PID_SMAD2_3NUCLEAR_PATHWAY	82	82		
PID_FCER1_PATHWAY	60	60		
PID_ENDOTHELIN_PATHWAY	63	63		
PID_BCR_5PATHWAY	63	63		
PID_PRL_SIGNALING_EVENTS_PATHWAY	23	23		
PID_RHOA_PATHWAY	45	45		
PID_ERBB4_PATHWAY	38	38		
PID_AURORA_B_PATHWAY	39	39		
PID_LYSOPHOSPHOLIPID_PATHWAY	65	65		
PID_INSULIN_PATHWAY	44	44		
PID_NOTCH_PATHWAY	59	59		
PID_INTEGRIN1_PATHWAY	66	66		
PID_P73PATHWAY	79	79		
PID_P38_MKK3_6PATHWAY	26	26		
PID_GMCSF_PATHWAY	36	35		
PID_WNT_NONCANONICAL_PATHWAY	32	32		
PID_NFKAPPAB_ATYPICAL_PATHWAY	17	17		
PID_IL4_2PATHWAY	64	64		
PID_HDAC_CLASSII_PATHWAY	34	34		
PID_BETA_CATENIN_DEG_PATHWAY	18	18		
PID_HDAC_CLASSIII_PATHWAY	26	26		
PID_GLYPICAN_1PATHWAY	27	27		
PID_TCR_PATHWAY	63	63		
PID_IL27_PATHWAY	26	26		
PID_NFKAPPAB_CANONICAL_PATHWAY	23	23		
PID_E2F_PATHWAY	73	73		
PID_ER_NONGENOMIC_PATHWAY	40	40		
PID_DNA_PK_PATHWAY	16	16		
PID_HIF2PATHWAY	34	34		
PID_CD40_PATHWAY	31	31		
PID_ATR_PATHWAY	39	39		
PID_INTEGRIN_CS_PATHWAY	26	26		
PID_MET_PATHWAY	79	79		
PID_PTP1B_PATHWAY	51	51		
PID_INTEGRIN3_PATHWAY	43	42		
PID_IL12_2PATHWAY	62	62		
PID_S1P_S1P3_PATHWAY	29	29		
PID_LPA4_PATHWAY	15	15		
PID_AR_PATHWAY	61	61		
PID_NFAT_TFPATHWAY	45	45		
PID_EPHB_FWD_PATHWAY	40	40		
PID_AVB3_OPN_PATHWAY	31	31		
PID_S1P_S1P4_PATHWAY	14		Rejected!	
PID_FRA_PATHWAY	37	37		
PID_MYC_ACTIV_PATHWAY	79	79		
PID_ARF6_TRAFFICKING_PATHWAY	49	49		
PID_RHOA_REG_PATHWAY	46	46		
PID_REELIN_PATHWAY	28	28		
PID_PS1_PATHWAY	46	46		
PID_ILK_PATHWAY	45	45		
PID_NECTIN_PATHWAY	30	30		
PID_P38_ALPHA_BETA_PATHWAY	30	30		
PID_WNT_SIGNALING_PATHWAY	28	28		
PID_TRAIL_PATHWAY	28	28		
PID_CDC42_PATHWAY	70	70		
PID_RET_PATHWAY	39	39		
PID_CDC42_REG_PATHWAY	30	30		
PID_ATM_PATHWAY	34	34		
PID_ARF6_PATHWAY	35	35		
PID_LKB1_PATHWAY	47	47		
PID_CD8_TCR_PATHWAY	52	52		
PID_WNT_CANONICAL_PATHWAY	20	20		
PID_TCPTP_PATHWAY	42	42		
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	49	49		
PID_FAS_PATHWAY	38	38		
PID_CIRCADIAN_PATHWAY	16	16		
PID_TXA2PATHWAY	56	56		
PID_SHP2_PATHWAY	57	57		
PID_HDAC_CLASSI_PATHWAY	66	66		
PID_S1P_S1P1_PATHWAY	21	21		
PID_TELOMERASE_PATHWAY	67	67		
PID_HNF3B_PATHWAY	45	45		
PID_NETRIN_PATHWAY	32	32		
PID_IL1_PATHWAY	34	34		
PID_NFAT_3PATHWAY	53	53		
PID_REG_GR_PATHWAY	82	82		
PID_CONE_PATHWAY	23	23		
PID_INTEGRIN_A9B1_PATHWAY	25	24		
PID_ERB_GENOMIC_PATHWAY	15	15		
PID_ARF6_DOWNSTREAM_PATHWAY	15	15		
PID_MTOR_4PATHWAY	69	69		
PID_IL2_1PATHWAY	55	55		
PID_CXCR4_PATHWAY	100	100		
PID_IGF1_PATHWAY	29	29		
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	35	35		
PID_TNF_PATHWAY	46	46		
PID_PLK1_PATHWAY	46	46		
PID_TCR_RAS_PATHWAY	14		Rejected!	
PID_IL5_PATHWAY	14		Rejected!	
PID_FOXO_PATHWAY	49	49		
PID_VEGF_VEGFR_PATHWAY	10		Rejected!	
PID_THROMBIN_PAR4_PATHWAY	15	15		
PID_MYC_PATHWAY	25	25		
PID_RANBP2_PATHWAY	11		Rejected!	
PID_PI3KCI_PATHWAY	48	48		
PID_AJDISS_2PATHWAY	48	48		
PID_IL2_PI3K_PATHWAY	34	34		
PID_CERAMIDE_PATHWAY	44	44		
PID_P53_DOWNSTREAM_PATHWAY	137	137		
PID_AR_TF_PATHWAY	53	53		
PID_P75_NTR_PATHWAY	68	68		
PID_S1P_META_PATHWAY	21	21		
PID_ECADHERIN_NASCENT_AJ_PATHWAY	39	39		
PID_INTEGRIN4_PATHWAY	11		Rejected!	
PID_AMB2_NEUTROPHILS_PATHWAY	41	41		
PID_AVB3_INTEGRIN_PATHWAY	74	74		
PID_IFNG_PATHWAY	40	40		
PID_RXR_VDR_PATHWAY	26	26		
PID_LIS1_PATHWAY	28	28		
PID_ERBB1_DOWNSTREAM_PATHWAY	105	105		
PID_SYNDECAN_4_PATHWAY	32	32		
PID_ATF2_PATHWAY	59	59		
PID_AP1_PATHWAY	70	70		
PID_INTEGRIN2_PATHWAY	29	29		
PID_UPA_UPAR_PATHWAY	42	42		
PID_ERBB2_ERBB3_PATHWAY	44	44		
PID_FOXM1_PATHWAY	40	40		
PID_EPHA_FWDPATHWAY	34	34		
PID_HIF1A_PATHWAY	19	19		
PID_BMP_PATHWAY	42	42		
PID_IL3_PATHWAY	26	25		
PID_IL6_7_PATHWAY	47	47		
PID_ECADHERIN_KERATINOCYTE_PATHWAY	21	21		
PID_ALK1_PATHWAY	26	26		
PID_PDGFRB_PATHWAY	129	129		
PID_TRKR_PATHWAY	61	61		
PID_TCR_JNK_PATHWAY	14		Rejected!	
PID_NEPHRIN_NEPH1_PATHWAY	31	31		
PID_CMYB_PATHWAY	84	84		
PID_IL23_PATHWAY	37	37		
PID_HIV_NEF_PATHWAY	35	35		
PID_SYNDECAN_1_PATHWAY	46	46		
PID_P38_MK2_PATHWAY	21	21		
PID_ERA_GENOMIC_PATHWAY	63	63		
PID_ERBB_NETWORK_PATHWAY	15	15		
PID_ALK2_PATHWAY	11		Rejected!	
PID_RHODOPSIN_PATHWAY	23	23		
PID_PDGFRA_PATHWAY	22	22		
PID_RETINOIC_ACID_PATHWAY	30	30		
PID_P38_GAMMA_DELTA_PATHWAY	11		Rejected!	
PID_IL8_CXCR2_PATHWAY	34	34		
PID_HEDGEHOG_2PATHWAY	22	22		
PID_INTEGRIN5_PATHWAY	17	17		
PID_AR_NONGENOMIC_PATHWAY	31	31		
PID_ERBB1_INTERNALIZATION_PATHWAY	41	41		
PID_HEDGEHOG_GLI_PATHWAY	48	48		
PID_CASPASE_PATHWAY	51	51		
PID_CXCR3_PATHWAY	43	43		
PID_BETA_CATENIN_NUC_PATHWAY	80	80		
PID_VEGFR1_PATHWAY	26	26		
PID_SMAD2_3PATHWAY	16	16		
PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY	38	38		
PID_KIT_PATHWAY	52	52		
PID_ECADHERIN_STABILIZATION_PATHWAY	41	41		
PID_EPO_PATHWAY	33	33		
PID_IL2_STAT5_PATHWAY	30	30		
PID_TCR_CALCIUM_PATHWAY	28	28		
PID_DELTA_NP63_PATHWAY	47	47		
PID_VEGFR1_2_PATHWAY	69	69		
PID_THROMBIN_PAR1_PATHWAY	43	43		
PID_A6B1_A6B4_INTEGRIN_PATHWAY	46	46		
PID_SYNDECAN_2_PATHWAY	33	33		
PID_RAC1_REG_PATHWAY	38	38		
PID_AURORA_A_PATHWAY	31	31		
PID_ARF_3PATHWAY	19	19		
PID_INSULIN_GLUCOSE_PATHWAY	26	26		
PID_PI3KCI_AKT_PATHWAY	35	35		
PID_SYNDECAN_3_PATHWAY	17	17		
PID_IL8_CXCR1_PATHWAY	28	28		
PID_MYC_REPRESS_PATHWAY	63	63		
PID_HIF1_TFPATHWAY	66	66		
PID_TAP63_PATHWAY	54	54		
PID_EPHRINB_REV_PATHWAY	30	30		
PID_BARD1_PATHWAY	29	29		
PID_P53_REGULATION_PATHWAY	59	59		
PID_TOLL_ENDOGENOUS_PATHWAY	24	24		
PID_NCADHERIN_PATHWAY	33	33		
PID_ANTHRAX_PATHWAY	18	18		
PID_S1P_S1P2_PATHWAY	24	24		
PID_RAS_PATHWAY	30	30		
PID_MAPK_TRK_PATHWAY	34	34		
PID_PI3K_PLC_TRK_PATHWAY	36	36		
PID_CD8_TCR_DOWNSTREAM_PATHWAY	65	65		
PID_EPHA2_FWD_PATHWAY	19	19		
PID_LYMPH_ANGIOGENESIS_PATHWAY	25	25		
PID_ALPHA_SYNUCLEIN_PATHWAY	32	32		
PID_FGF_PATHWAY	55	55		
PID_INTEGRIN_A4B1_PATHWAY	33	33		
PID_RAC1_PATHWAY	54	54		
PID_RB_1PATHWAY	65	64		
PID_FAK_PATHWAY	59	59		
PID_HNF3A_PATHWAY	44	44		
PID_TGFBR_PATHWAY	54	54		
PID_HES_HEY_PATHWAY	48	48		
PID_IL12_STAT4_PATHWAY	32	32		
SA_B_CELL_RECEPTOR_COMPLEXES	24	24		
SIG_CD40PATHWAYMAP	34	34		
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	67	67		
SA_CASPASE_CASCADE	19	19		
SIG_CHEMOTAXIS	45	45		
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	27	27		
WNT_SIGNALING	89	89		
SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES	35	35		
SA_FAS_SIGNALING	9		Rejected!	
SA_G1_AND_S_PHASES	15	15		
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	51	51		
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	36	36		
SIG_BCR_SIGNALING_PATHWAY	46	46		
SA_G2_AND_M_PHASES	8		Rejected!	
SA_MMP_CYTOKINE_CONNECTION	15	15		
SA_PROGRAMMED_CELL_DEATH	12		Rejected!	
SA_PTEN_PATHWAY	17	17		
SA_REG_CASCADE_OF_CYCLIN_EXPR	13		Rejected!	
SA_TRKA_RECEPTOR	17	17		
NABA_COLLAGENS	44	44		
NABA_ECM_GLYCOPROTEINS	196	196		
NABA_ECM_REGULATORS	238	237		
NABA_ECM_AFFILIATED	170	169		
NABA_PROTEOGLYCANS	35	35		
NABA_SECRETED_FACTORS	343	342		
NABA_CORE_MATRISOME	275	275		
NABA_MATRISOME_ASSOCIATED	751		Rejected!	
NABA_BASEMENT_MEMBRANES	40	40		
NABA_MATRISOME	1026		Rejected!	
DESERT_PERIPORTAL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP	159	159		
DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP	155	155		
DESERT_EXTRACELLULAR_MATRIX_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP	22	22		
DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP	242	242		
JINESH_BLEBBISHIELD_TO_IMMUNE_CELL_FUSION_PBSHMS_DN	401	400		
JINESH_BLEBBISHIELD_TRANSFORMED_STEM_CELL_SPHERES_UP	176	175		
JINESH_BLEBBISHIELD_TO_IMMUNE_CELL_FUSION_PBSHMS_UP	394	394		
JINESH_BLEBBISHIELD_VS_LIVE_CONTROL_DN	306	306		
JINESH_BLEBBISHIELD_VS_LIVE_CONTROL_UP	472	463		
JINESH_BLEBBISHIELD_TRANSFORMED_STEM_CELL_SPHERES_DN	372	362		
MANNE_COVID19_NONICU_VS_HEALTHY_DONOR_PLATELETS_UP	143	143		
MANNE_COVID19_NONICU_VS_HEALTHY_DONOR_PLATELETS_DN	210	209		
MANNE_COVID19_ICU_VS_HEALTHY_DONOR_PLATELETS_UP	128	128		
MANNE_COVID19_ICU_VS_HEALTHY_DONOR_PLATELETS_DN	162	160		
MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_UP	179	179		
MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN	227	225		
MEBARKI_HCC_PROGENITOR_WNT_UP	199	199		
MEBARKI_HCC_PROGENITOR_WNT_DN	93	92		
MEBARKI_HCC_PROGENITOR_WNT_UP_CTNNB1_DEPENDENT	88	88		
MEBARKI_HCC_PROGENITOR_WNT_DN_CTNNB1_DEPENDENT	31	30		
MEBARKI_HCC_PROGENITOR_WNT_UP_CTNNB1_INDEPENDENT	24	24		
MEBARKI_HCC_PROGENITOR_WNT_DN_CTNNB1_INDEPENDENT	17	17		
MEBARKI_HCC_PROGENITOR_WNT_UP_BLOCKED_BY_FZD8CRD	125	125		
MEBARKI_HCC_PROGENITOR_WNT_DN_BLOCKED_BY_FZD8CRD	71	70		
MEBARKI_HCC_PROGENITOR_WNT_UP_CTNNB1_DEPENDENT_BLOCKED_BY_FZD8CRD	47	47		
MEBARKI_HCC_PROGENITOR_WNT_DN_CTNNB1_DEPENDENT_BLOCKED_BY_FZD8CRD	22	21		
MEBARKI_HCC_PROGENITOR_FZD8CRD_UP	585		Rejected!	
MEBARKI_HCC_PROGENITOR_FZD8CRD_DN	461	457		
REACTOME_INTERLEUKIN_6_SIGNALING	11		Rejected!	
REACTOME_HEMOSTASIS	678		Rejected!	
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	53	53		
REACTOME_MAPK3_ERK1_ACTIVATION	10		Rejected!	
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	39	39		
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	30	30		
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	19	19		
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	56	52		
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	9		Rejected!	
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	8		Rejected!	
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	25	25		
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA_	15	15		
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	5		Rejected!	
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	9		Rejected!	
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA	5		Rejected!	
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	6		Rejected!	
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	13		Rejected!	
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	38	38		
REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE	8		Rejected!	
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE	18	18		
REACTOME_OPIOID_SIGNALLING	90	90		
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	20	20		
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB	10		Rejected!	
REACTOME_CA_DEPENDENT_EVENTS	37	37		
REACTOME_G_PROTEIN_MEDIATED_EVENTS	54	54		
REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS	5		Rejected!	
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	11		Rejected!	
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	51	51		
REACTOME_NEUROTRANSMITTER_CLEARANCE	10		Rejected!	
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	205	205		
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	269		
REACTOME_NEURONAL_SYSTEM	410	410		
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX_	58	58		
REACTOME_IRS_MEDIATED_SIGNALLING	48	48		
REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION	23	23		
REACTOME_MAPK1_ERK2_ACTIVATION	9		Rejected!	
REACTOME_SOS_MEDIATED_SIGNALLING	7		Rejected!	
REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX	33	33		
